title,singer,music_director,actor,genre,language,movie_name,album,year,duration_seconds,audio_file_path,moods
Vizhi Moodi,Karthik,,,Telugu,Telugu,,Ayan,,332,songs/karthik_vizhi_moodi.mp3,feel good
Kallu Moosi Yochisthey,Karthik,,,Telugu,Telugu,,,,,songs/karthik_kallu_moosi_yochisthey.mp3,feel good
O My Friend,Karthik,,,Telugu,Telugu,,Happy Days,,302,songs/karthik_o_my_friend.mp3,feel good
Hosanna,A.R. Rahman,,,Telugu,Telugu,,Perfect 10: AR Rahman - The Spirit of Music,,332,songs/ar_rahman_hosanna.mp3,feel good
Inkem Inkem Inkem Kaavaale,Sid Sriram,,,Telugu,Telugu,,Geetha Govindam,,,songs/sid_sriram_inkem_inkem_inkem_kaavaale.mp3,feel good
Ide Kalala Vunnadhe,Andrea Jeremiah,,,Telugu,Telugu,,Bharat Ane Nenu,,280,songs/andrea_jeremiah_ide_kalala_vunnadhe.mp3,feel good
Anuvanuvuu,Sunny M.R.,,,Telugu,Telugu,,,,,songs/sunny_mr_anuvanuvuu.mp3,feel good
Hoyna Hoyna,Anirudh Ravichander,,,Telugu,Telugu,,,,271,songs/anirudh_ravichander_hoyna_hoyna.mp3,feel good
Karige Loga,"Kunal Ganjawala , Megha",,,Telugu,Telugu,,,,,songs/kunal_ganjawala_megha_karige_loga.mp3,feel good
Chamkeela Angeelesi,Santhosh Narayanan,,,Telugu,Telugu,,,,,songs/santhosh_narayanan_chamkeela_angeelesi.mp3,feel good
My Love is Gone,Ranjith,,,Telugu,Telugu,,Arya 2,,290,songs/ranjith_my_love_is_gone.mp3,romantic
Yedurangula Vaana,Sid Sriram,,,Telugu,Telugu,,18 Pages (Original Motion Picture Soundtrack) - EP,,252,songs/sid_sriram_yedurangula_vaana.mp3,feel good
Taanu Nenu,Vijay Prakash,,,Telugu,Telugu,,Saahasam Swaasaga Saagipo,,253,songs/vijay_prakash_taanu_nenu.mp3,feel good
Bangaru Kalla,Udit Narayan,,,Telugu,Telugu,,Murari (Original Motion Picture Soundtrack),,300,songs/udit_narayan_bangaru_kalla.mp3,feel good
Neeve Neeve,Chakri,,,Telugu,Telugu,,Amma Nanna O Tamila Ammai,,328,songs/chakri_neeve_neeve.mp3,romantic
"Naa Madhi (From ""Thiru"")",Dhanunjay Seepana,,,Telugu,Telugu,,,,,songs/dhanunjay_seepana_naa_madhi_from_thiru.mp3,feel good
Chandamama,Mani Sharma,,,Telugu,Telugu,,,,,songs/mani_sharma_chandamama.mp3,feel good
Jaamurathiri,S. P. Balasubrahmanyam,,,Telugu,Telugu,,Kshana Kshanam (Original Motion Picture Soundtrack),,301,songs/s_p_balasubrahmanyam_jaamurathiri.mp3,feel good
123 Nenoka Kantri,"Ntr, Naveen, Karunya",,,Telugu,Telugu,,,,,songs/ntr_naveen_karunya_123_nenoka_kantri.mp3,feel good
"Asale Chalikalam (Language: Telugu; Film: Mr.Mrs Sailaja Krishnamurthy; Film Artists: Sivaji, Laila)",Tippu,,,Telugu,Telugu,,,,,songs/tippu_asale_chalikalam_language_telugu_film_mrmrs_sailaja_krishnam.mp3,devotional
"O Rendu Prema Meghaalila (First Love Song) [From ""Baby""]",Vijai Bulganin,,,Telugu,Telugu,,,,,songs/vijai_bulganin_o_rendu_prema_meghaalila_first_love_song_from_baby.mp3,romantic
Idemitamma,Vandemataram Srinivas,,,Telugu,Telugu,,,,,songs/vandemataram_srinivas_idemitamma.mp3,feel good
Pranam Pothunna,Yuvan Shankar Raja,,,Telugu,Telugu,,Love Today (Telugu) [Original Motion Picture Soundtrack] - Single,,231,songs/yuvan_shankar_raja_pranam_pothunna.mp3,feel good
La La Bheemla DJ Version,Arun Kaundinya,,,Telugu,Telugu,,,,210,songs/arun_kaundinya_la_la_bheemla_dj_version.mp3,party
"Ranjithame (From ""Vaarasudu"") [Telugu]",Anurag Kulkarni,,,Telugu,Telugu,,,,,songs/anurag_kulkarni_ranjithame_from_vaarasudu_telugu.mp3,feel good
